income,Col1,Col2,Col3
<=50K,77516.0639834147,2171.70081159782,-6.87506298332665
<=50K,83310.9993769726,-2.47016106038633,-3.23519117899949
<=50K,215645.999269068,-6.40716678283673,-8.18587974019858
<=50K,234720.999106237,-6.97282425171422,-8.92646908178514
<=50K,338408.999214442,-10.0621364369268,-12.7445605813259
<=50K,284581.999190824,-8.45878960473245,-10.7566125369099
<=50K,160186.999297403,-4.75830614398544,-6.09926131098545
>50K,209641.999129393,-6.22581087707608,-7.99880172878428
>50K,45781.4177782032,14082.6267494487,-26.6997402272819
>50K,159449.153071398,5173.2579928256,-15.2344870256766
>50K,280463.999096957,-8.33118889999067,-10.666182001989
>50K,141296.999428773,-4.19529929292346,-5.40043514893325
<=50K,122271.999544083,-3.63139559934681,-4.66026541862655
<=50K,205018.999310258,-6.09030580483583,-7.79539708574979
<=50K,245486.999264431,-7.29542619324744,-9.29603815231413
<=50K,176755.999451648,-5.25220355045548,-6.70164151584451
<=50K,186823.999360497,-5.55020949435158,-7.09920240874368
<=50K,28886.9994665968,-0.847527092679255,-1.23892962974418
>50K,292174.999111599,-8.683276337879,-11.0598252441598
>50K,193523.999216448,-5.74555327316768,-7.40176621980277
<=50K,302145.999066452,-8.98195457354787,-11.4102300863845
<=50K,76844.9994666118,-2.27668783830102,-3.00343965371807
<=50K,117036.923155491,-7.07450165306948,-2046.50864023278
<=50K,109014.999195517,-3.23058514204478,-4.25291910894071
>50K,216850.999091576,-6.44027834338736,-8.26962222615999
<=50K,168293.999506171,-5.00056110358535,-6.38214317342641
<=50K,367259.998975767,-10.9142225822478,-13.9052752274049
<=50K,193365.999190607,-5.74248199800305,-7.37773258419627
<=50K,190708.999406941,-5.6654210013432,-7.2470767773054
<=50K,266014.99936976,-7.90827214305748,-10.0342622263268
<=50K,386939.946463771,-13.9883420794001,-1422.58097727519
<=50K,59950.9995284713,-1.77438665076042,-2.36601875624746
<=50K,311511.999371308,-9.26584558687181,-11.6875800142852
<=50K,242405.99914479,-7.20227520167361,-9.20259719105018
<=50K,197199.999451769,-5.86054643764852,-7.4643388113114
<=50K,544090.999098773,-16.187155319667,-20.3676126631744
<=50K,265476.999110943,-7.88868465239072,-10.0657576694282
<=50K,507874.998985283,-15.105381212589,-19.0692256040373
<=50K,88505.9992722158,-2.62083620449395,-3.47885052826645
<=50K,172986.999422243,-5.138029490407,-6.58596149716563
<=50K,94637.9993078111,-2.80411274157745,-3.69673714126468
<=50K,289979.99931773,-8.62203188088861,-10.9226466715397
>50K,337894.998938916,-10.0427006239432,-12.7842110203264
<=50K,144360.99921589,-4.28366392551763,-5.55561611559198
<=50K,128353.999309717,-3.80807279114885,-4.9463331372522
<=50K,101602.999373159,-3.01243599329786,-3.94173530717954
<=50K,271465.999278582,-8.06930700775749,-10.2546665890105
<=50K,32274.9996088713,-0.951394527261594,-1.32408560407429
>50K,51834.9283574672,-4.88340895231171,-1904.12327178088
>50K,251584.999068682,-7.47295953359339,-9.57660846041763
<=50K,109831.999256741,-3.25399130623771,-4.29191103752231
>50K,237992.999193621,-7.07149985260953,-9.0298752891887
<=50K,216665.999198474,-6.43662871918078,-8.23716386172397
<=50K,56351.9994843127,-1.66651185736936,-2.24256055823749
<=50K,147371.999300501,-4.37368438123071,-5.65989900630436
<=50K,188146.148255707,5007.40227342442,-15.9868368054667
<=50K,59496.0710098715,2405.23550000967,-6.59635603205441
<=50K,149639.999251966,-4.44123036480858,-5.7455884096093
>50K,116631.999327573,-3.45872541544049,-4.51482988108248
<=50K,105597.999437385,-3.13076112363409,-4.09490894586487
<=50K,155536.999359139,-4.61844643124162,-5.9412017765317
<=50K,183174.999401365,-5.4421349135413,-6.95557086309955
>50K,169845.999180308,-5.04191144929099,-6.50875053106634
