"","text","label"
"1","sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p","spam"
"2","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","spam"
"3","Can do lor...","ham"
"4","Ok","ham"
"5","I'm leaving my house now.","ham"
"6","I wan but too early lei... Me outside now wun b home so early... Neva mind then...","ham"
"7","I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.","ham"
"8","Please CALL 08712402972 immediately as there is an urgent message waiting for you","spam"
"9","Doing project w frens lor.","ham"
"10","Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.","ham"
"11","Ok lor wat time Å finish?","ham"
"12","For ur chance to win a ù250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","spam"
"13","I dunno until when... Lets go learn pilates...","ham"
"14","Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...","ham"
"15","Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Å leaving earlier or wat mah cos mayb Å haf to walk v far...","ham"
"16","HELLO PEACH! MY CAKE TASTS LUSH!","ham"
"17","Nope watching tv at home... Not going out. V bored...","ham"
"18","Pete can you please ring meive hardly gotany credit","ham"
"19","For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk","spam"
"20","Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm","spam"
"21","Wat time do u wan 2 meet me later?","ham"
"22","Hui xin is in da lib.","ham"
"23","Dun need to use dial up juz open da browser n surf...","ham"
"24","Ok i go change also...","ham"
"25","Yup ok thanx...","ham"
"26","Then Å come n pick me at 530 ar?","ham"
"27","We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p","spam"
"28","Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath","ham"
"29","PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires","spam"
"30","I not free today i haf 2 pick my parents up tonite...","ham"
"31","Oh...i asked for fun. Haha...take care. Å","ham"
"32","Huh but i cant go 2 ur house empty handed right?","ham"
"33","Yup... How Å noe leh...","ham"
"34","Oh ok i didnt know what you meant. Yep i am baby jontin","ham"
"35","ILL B DOWN SOON","ham"
"36","I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.","spam"
